feature,avg_ic,avg_hit_rate,avg_ic_t,n_symbols,n_useful,n_strong
price_mom_10s,0.02223625,0.239125,-0.26087499999999997,8,3,1
price_impact,0.0078575,0.4453375,0.018625,8,3,0
volume_ratio,0.004368749999999999,0.49434999999999996,0.0026249999999999997,8,1,0
price_mom_30s,0.0034937500000000003,0.37106249999999996,-0.4355,8,2,0
spread_zscore,0.0031625000000000004,0.49358749999999996,0.0085,8,3,0
price_autocorr_60,0.0013362499999999998,0.492675,-0.005250000000000001,8,3,0
spread_trend_z,0.00107875,0.155525,0.006124999999999998,8,0,0
ofi_l1,0.001045,0.1809625,0.009375000000000001,8,0,0
ofi_zscore,0.00098875,0.1809625,0.009500000000000001,8,0,0
tick_count,-0.0007287499999999999,0.49434999999999996,-0.005375,8,0,0
realized_vol_60s,-0.00132875,0.4506875,-0.005125,8,2,0
imbalance_last,-0.00161875,0.0163625,0.7007500000000001,8,5,0
volume_delta,-0.0016575,0.028650000000000002,-0.028375,8,0,0
ofi_cum_60,-0.0021687500000000014,0.4647375,-0.011875,8,5,0
vol_regime_ratio,-0.0025887500000000008,0.4834625,-0.0115,8,2,0
price_mom_60s,-0.0026249999999999997,0.4339,-0.52325,8,0,0
tick_direction_z,-0.00756875,0.4911875,-0.20274999999999999,8,6,0
queue_pressure_log,-0.009035,0.492025,-1.376625,8,1,0
ofi_weighted,-0.03062625,0.3330625,-1.063,8,7,0
book_imbalance_weighted,-0.04941375,0.44595,-0.340375,8,8,3
