feature,importance
mid_vs_vwap,7195.354675769806
ist_cos,6150.98348903656
ist_sin,4779.556227684021
spread_bps,4740.861780405045
total_ask_qty,4661.1188788414
total_bid_qty,4421.224131345749
depth_ratio,4004.7962131500244
vol_regime_ratio,3949.717150449753
spread_zscore,3799.593872308731
tick_direction_z,3702.2007467746735
ask_q1,3626.3776376247406
mins_since_open,3551.672402381897
bid_q1,2952.493600845337
price_autocorr_60,2665.8253026008606
realized_vol_60s,2634.312440395355
mins_to_close,2402.243531703949
price_mom_60s,2009.302315711975
price_mom_30s,1770.1754009723663
price_impact,1406.751148223877
book_imbalance_weighted,1146.7698357105255
spread_rel,1087.745462179184
price_mom_10s,833.5267863273621
volume_ratio,553.8386154174805
ofi_weighted,174.31447577476501
vol_ratio_10_60,118.36731171607971
imbalance_last,4.351662635803223
oi_change_z,0.0
tick_count,0.0
volume_delta,0.0
