sym1,sym2,sector,ok,pvalue,adf_stat,hedge_ratio,intercept,half_life_secs,spread_mean,spread_std,spread_std_bps,correlation,n_bars,daily_signals,r_squared
HCLTECH26MAYFUT,TCS26MAYFUT,it,True,0.0,-7.3781,0.565269,-131.5222,601.8,-131.5222,5.2523,30.64,0.9719,109569,40.2,0.9446
SUNPHARMA26MAYFUT,DRREDDY26MAYFUT,pharma,True,0.0,-6.6874,0.723666,922.4035,480.8,922.4035,7.1244,44.72,0.9256,62546,29.6,0.8567
HAVELLS26MAYFUT,BLUESTARCO26MAYFUT,industrials,True,0.0,-5.8313,0.319916,670.261,660.0,670.261,5.3371,37.37,0.8094,99693,22.8,0.6551
EICHERMOT26MAYFUT,MARUTI26MAYFUT,auto,True,0.0,-5.845,0.58911,-740.2248,653.2,-740.2248,34.6011,34.54,0.8557,90301,34.1,0.7322
HEROMOTOCO26MAYFUT,MARUTI26MAYFUT,auto,True,0.0,-5.931,0.501109,-1542.7707,568.0,-1542.7707,27.1608,30.05,0.8491,78832,53.0,0.721
BAJAJHLDNG26MAYFUT,OBEROIRLTY26MAYFUT,mixed,True,0.0,-53.9233,3.559487,4528.6264,11.2,4528.6264,136.1177,227.57,0.5507,90911,6.8,0.3033
BAJAJFINSV26MAYFUT,BAJAJHLDNG26MAYFUT,mixed,True,0.0,-43.1692,0.067124,1051.0277,16.6,1051.0277,11.2826,18.68,0.6807,87666,38.0,0.4633
BAJAJHLDNG26MAYFUT,MUTHOOTFIN26MAYFUT,mixed,True,0.0,-45.6221,-0.64302,12489.9404,18.3,12489.9404,158.4989,231.54,-0.4161,108593,14.8,0.1731
PIDILITIND26MAYFUT,BAJAJHLDNG26MAYFUT,mixed,True,0.0,-6.5828,0.012172,1340.6961,502.5,1340.6961,14.663,24.99,0.1573,63038,8.8,0.0247
TITAN26MAYFUT,BAJAJHLDNG26MAYFUT,mixed,True,0.0,-11.0481,0.091867,3167.4989,106.3,3167.4989,36.0064,49.86,0.3687,107310,4.2,0.1359
ASIANPAINT26MAYFUT,BAJAJHLDNG26MAYFUT,mixed,True,0.0,-14.7755,0.037867,2226.7624,139.1,2226.7624,18.7884,29.02,0.3282,91098,9.1,0.1077
GRASIM26MAYFUT,BAJAJHLDNG26MAYFUT,mixed,True,0.0,-23.8372,0.23444,565.0,55.3,565.0,70.6008,105.91,0.5173,90631,28.2,0.2676
BHARTIARTL26MAYFUT,BAJAJHLDNG26MAYFUT,mixed,True,0.0,-25.779,0.152538,309.8766,54.8,309.8766,42.7446,70.1,0.5252,104672,4.1,0.2758
ADANIENT26MAYFUT,BAJAJHLDNG26MAYFUT,mixed,True,0.0,-33.38,0.300724,-428.6456,33.2,-428.6456,65.3192,100.46,0.6261,105742,14.1,0.392
ADANIPORTS26MAYFUT,BAJAJHLDNG26MAYFUT,mixed,True,0.0,-40.0073,0.092658,818.787,22.4,818.787,16.9639,28.06,0.6762,101930,26.6,0.4572
BDL26MAYFUT,HAL26MAYFUT,infra,True,0.0,-6.0435,0.177252,536.6015,602.1,536.6015,6.9939,24.33,0.9676,101841,31.8,0.9363
BAJAJHLDNG26MAYFUT,COCHINSHIP26MAYFUT,mixed,True,0.0,-43.3292,-0.799414,11577.4341,19.8,11577.4341,166.8942,280.69,-0.3051,105559,7.0,0.0931
HCLTECH26MAYFUT,INFY26MAYFUT,it,True,1e-06,-5.7371,0.664627,387.3561,999.3,387.3561,5.2003,45.17,0.972,122182,35.5,0.9448
PHOENIXLTD26MAYFUT,DLF26MAYFUT,realty,True,1e-06,-5.7547,2.09082,546.4393,232.3,546.4393,11.2443,96.43,0.8815,30495,12.5,0.7771
GODREJPROP26MAYFUT,PRESTIGE26MAYFUT,realty,True,2e-06,-5.4876,0.874375,521.7944,722.0,521.7944,13.6371,88.27,0.8365,88183,14.1,0.6997
MARUTI26MAYFUT,M&M26MAYFUT,auto,True,3e-06,-5.4515,2.740078,4509.1695,886.0,4509.1695,54.1106,66.86,0.8281,105219,21.0,0.6858
RELIANCE26MAYFUT,BAJAJHLDNG26MAYFUT,mixed,True,5e-06,-5.3374,-0.010495,1460.6354,1237.9,1460.6354,14.6457,25.08,-0.1264,103785,14.2,0.016
ASIANPAINT26MAYFUT,BAJAJFINSV26MAYFUT,mixed,True,6e-06,-5.2689,0.824629,1177.5811,864.1,1177.5811,13.4854,61.8,0.6959,78885,13.6,0.4843
ASIANPAINT26MAYFUT,OBEROIRLTY26MAYFUT,mixed,True,1e-05,-5.178,0.555565,1712.9508,1100.2,1712.9508,14.5344,68.4,0.6937,89738,23.1,0.4812
OBEROIRLTY26MAYFUT,PHOENIXLTD26MAYFUT,realty,True,2.2e-05,-5.0045,0.93529,-6.5363,678.4,-6.5363,13.9625,82.47,0.8321,85902,38.0,0.6924
BPCL26MAYFUT,IOC26MAYFUT,energy,True,2.7e-05,-4.9556,1.694286,57.3062,726.7,57.3062,1.7476,82.0,0.9578,71839,18.0,0.9174
INFY26MAYFUT,TCS26MAYFUT,it,True,5.8e-05,-4.787,0.801986,-669.67,1390.9,-669.67,10.0895,58.88,0.9526,111018,28.2,0.9075
JSWSTEEL26MAYFUT,TATASTEEL26MAYFUT,metals,True,8.4e-05,-4.7015,1.13502,1043.3648,948.2,1043.3648,8.1156,108.22,0.632,63042,18.6,0.3994
ASIANPAINT26MAYFUT,PIDILITIND26MAYFUT,mixed,True,9.7e-05,-4.6661,1.017204,1128.0862,732.0,1128.0862,14.6313,71.76,0.6893,54570,21.6,0.4751
LUPIN26MAYFUT,DIVISLAB26MAYFUT,pharma,True,0.000107,-4.6438,0.188905,963.1793,1030.8,963.1793,12.8059,28.12,0.6919,78663,20.1,0.4787
SBIN26MAYFUT,BANKBARODA26MAYFUT,banking,True,0.000135,-4.5899,2.537701,287.0057,1033.3,287.0057,5.1589,84.45,0.8391,74052,30.1,0.7042
LUPIN26MAYFUT,TORNTPHARM26MAYFUT,pharma,True,0.000157,-4.5544,0.203386,1364.4679,1193.2,1364.4679,12.6165,37.89,0.6984,90390,28.0,0.4878
MARUTI26MAYFUT,TVSMOTOR26MAYFUT,auto,True,0.00021,-4.4843,1.013403,9596.2493,1444.6,9596.2493,70.0646,85.01,0.6985,104941,22.8,0.488
DIVISLAB26MAYFUT,ALKEM26MAYFUT,pharma,True,0.000324,-4.3783,0.648362,3280.1394,1304.3,3280.1394,50.5572,81.79,0.601,78029,10.9,0.3612
ADANIPORTS26MAYFUT,ADANIENT26MAYFUT,mixed,True,0.000328,-4.3753,0.2301,1160.0907,1487.1,1160.0907,11.23,50.45,0.8661,108895,31.0,0.7502
BAJFINANCE26MAYFUT,FEDERALBNK26MAYFUT,nbfc,True,0.000395,-4.3294,2.441113,222.065,1064.6,222.065,6.1316,102.37,0.6567,62159,27.5,0.4313
ADANIPORTS26MAYFUT,TITAN26MAYFUT,mixed,True,0.000451,-4.2964,0.42547,24.1618,1811.6,24.1618,15.6181,53.01,0.7238,112247,24.9,0.5239
NESTLEIND26MAYFUT,TATACONSUM26MAYFUT,fmcg,True,0.000513,-4.2636,1.082854,122.3892,1140.4,122.3892,9.2927,70.23,0.905,77022,11.2,0.819
HINDUNILVR26MAYFUT,NESTLEIND26MAYFUT,fmcg,True,0.000553,-4.2449,1.294863,384.8989,1567.6,384.8989,13.875,75.4,0.8896,97086,19.9,0.7914
HINDUNILVR26MAYFUT,TATACONSUM26MAYFUT,fmcg,True,0.000579,-4.233,1.42963,507.102,1611.3,507.102,14.1635,81.81,0.8984,96152,22.9,0.8071
RELIANCE26MAYFUT,ASIANPAINT26MAYFUT,mixed,True,0.000633,-4.2101,0.418987,252.6123,2383.6,252.6123,11.1589,56.23,0.5986,97913,9.6,0.3583
POWERGRID26MAYFUT,NTPC26MAYFUT,infra,True,0.000658,-4.2004,1.251185,-191.4536,719.1,-191.4536,2.7491,79.66,0.8287,41134,15.2,0.6867
CHOLAFIN26MAYFUT,LICHSGFIN26MAYFUT,nbfc,True,0.000853,-4.1332,1.594073,661.1783,639.0,661.1783,12.9172,122.71,0.9025,36112,10.5,0.8144
