sym1,sym2,sector,hedge_ratio,half_life,correlation,lots1,lots2,spread_mean,spread_std,is_resampled,entry_z,exit_z,stop_z,n_trades,n_per_day,win_rate,avg_net_pnl,total_pnl,daily_pnl,sharpe,avg_hold_bars,stop_rate
PHOENIXLTD26MAYFUT,DLF26MAYFUT,realty,2.09082,232.3,0.8815,1,2,546.15491,20.843389,False,1.5,0.75,3.5,10,0.7,0.9,67934.39,679343.91,48524.57,6.99,314.1,0.1
GRASIM26MAYFUT,BAJAJHLDNG26MAYFUT,mixed,0.23444,55.3,0.5173,1,1,593.9154,90.984839,True,1.5,0.0,3.5,8,0.6,0.75,82728.9,661831.19,47273.66,8.54,29.2,0.0
GODREJPROP26MAYFUT,PHOENIXLTD26MAYFUT,realty,0.721383,1037.2,0.6791,1,1,467.064692,27.48072,False,2.0,0.0,4.0,10,0.7,1.0,49054.64,490546.36,35039.03,7.77,1538.3,0.0
BDL26MAYFUT,HAL26MAYFUT,infra,0.177252,602.1,0.9676,1,1,513.827571,62.843552,False,2.5,0.0,3.5,27,1.9,0.0741,17862.89,482297.97,34449.85,9.29,137.5,0.9259
ASIANPAINT26MAYFUT,BAJAJFINSV26MAYFUT,mixed,0.824629,864.1,0.6959,1,1,1182.274484,20.80747,False,2.0,0.0,5.0,8,0.6,0.875,50797.27,406378.17,29027.01,7.91,1119.0,0.125
PIDILITIND26MAYFUT,BAJAJHLDNG26MAYFUT,mixed,0.012172,502.5,0.1573,1,1,1343.602335,13.652997,False,1.5,0.5,3.5,17,1.2,0.6471,4036.29,68616.86,4901.2,7.88,1090.4,0.2353
JSWSTEEL26MAYFUT,HINDALCO26MAYFUT,metals,0.041091,1388.4,0.0784,1,1,1242.817901,10.137252,False,2.0,0.3,3.5,7,0.5,1.0,9648.57,67539.98,4824.28,18.12,1359.9,0.0
JSWSTEEL26MAYFUT,VEDL26MAYFUT,metals,1.060573,1097.4,0.4701,1,2,938.95111,9.423397,False,1.5,0.5,3.5,16,1.1,0.75,3808.95,60943.21,4353.09,33.59,1255.8,0.0
CHOLAFIN26MAYFUT,LICHSGFIN26MAYFUT,nbfc,1.594073,639.0,0.9025,1,3,671.326324,22.275775,False,1.5,0.0,3.5,8,0.6,0.875,7410.32,59282.54,4234.47,14.37,1550.0,0.0
POWERGRID26MAYFUT,NTPC26MAYFUT,infra,1.251185,719.1,0.8287,1,1,-191.90135,3.031635,False,1.5,0.75,3.5,12,0.9,1.0,4898.26,58779.06,4198.5,20.07,919.1,0.0
