sym1,sym2,sector,half_life,correlation,grade,oos_pnl,oos_daily,oos_win_rate,oos_sharpe,n_oos_trades,n_oos_per_day
HEROMOTOCO26MAYFUT,EICHERMOT26MAYFUT,auto,1563.3,0.7001,GREEN,5371.36,1074.27,1.0,15.87,2,0.4
ASIANPAINT26MAYFUT,OBEROIRLTY26MAYFUT,mixed,1100.2,0.6937,GREEN,1499.36,299.87,1.0,10.0,1,0.2
POWERGRID26MAYFUT,NTPC26MAYFUT,infra,719.1,0.8287,GREEN,2191.1,438.22,1.0,10.0,1,0.2
ASIANPAINT26MAYFUT,BAJAJHLDNG26MAYFUT,mixed,139.1,0.3282,GREEN,527.72,105.54,1.0,10.0,1,0.2
ASIANPAINT26MAYFUT,PIDILITIND26MAYFUT,mixed,732.0,0.6893,GREEN,4734.35,946.87,1.0,10.0,2,0.4
HEROMOTOCO26MAYFUT,M&M26MAYFUT,auto,1579.6,0.7032,GREEN,4253.91,850.78,1.0,10.0,1,0.2
ADANIPORTS26MAYFUT,ADANIENT26MAYFUT,mixed,1487.1,0.8661,GREEN,118.69,23.74,1.0,10.0,1,0.2
GODREJPROP26MAYFUT,PRESTIGE26MAYFUT,realty,722.0,0.8365,GREEN,1111.33,222.27,1.0,10.0,1,0.2
HCLTECH26MAYFUT,INFY26MAYFUT,it,999.3,0.972,RED,-1857982.11,-371596.42,0.0,-10.0,2126,425.2
DIVISLAB26MAYFUT,ALKEM26MAYFUT,pharma,1304.3,0.601,RED,-199541.88,-39908.38,0.0,-10.0,162,32.4
BDL26MAYFUT,HAL26MAYFUT,infra,602.1,0.9676,RED,-1532691.91,-306538.38,0.0,-10.0,1500,300.0
LUPIN26MAYFUT,DIVISLAB26MAYFUT,pharma,1030.8,0.6919,RED,-2388525.96,-477705.19,0.0006,-10.0,1623,324.6
LUPIN26MAYFUT,TORNTPHARM26MAYFUT,pharma,1193.2,0.6984,RED,-2311.51,-462.3,0.0,-10.0,1,0.2
SUNPHARMA26MAYFUT,DRREDDY26MAYFUT,pharma,480.8,0.9256,RED,-413926.94,-82785.39,0.0031,-10.0,321,64.2
INFY26MAYFUT,TCS26MAYFUT,it,1390.9,0.9526,RED,-723.82,-144.76,0.0,-10.0,1,0.2
HCLTECH26MAYFUT,TCS26MAYFUT,it,601.8,0.9719,RED,-2061190.0,-412238.0,0.0,-10.0,2271,454.2
MARUTI26MAYFUT,M&M26MAYFUT,auto,886.0,0.8281,RED,-5515903.46,-1103180.69,0.0,-10.0,2498,499.6
ADANIENT26MAYFUT,BAJAJHLDNG26MAYFUT,mixed,33.2,0.6261,RED,-7888.33,-1577.67,0.0,-10.0,2,0.4
GRASIM26MAYFUT,BAJAJHLDNG26MAYFUT,mixed,55.3,0.5173,RED,-3959.02,-791.8,0.5,-10.0,2,0.4
BPCL26MAYFUT,IOC26MAYFUT,energy,726.7,0.9578,RED,-1932.38,-386.48,0.0,-10.0,2,0.4
HAVELLS26MAYFUT,VOLTAS26MAYFUT,industrials,1178.3,0.6526,RED,-861840.6,-172368.12,0.0011,-10.0,920,184.0
HEROMOTOCO26MAYFUT,MARUTI26MAYFUT,auto,568.0,0.8491,RED,-30177.29,-6035.46,0.1,-10.78,20,4.0
TECHM26MAYFUT,TCS26MAYFUT,it,1625.5,0.9121,RED,-5551010.32,-1110202.06,0.0,-15.87,3111,622.2
NESTLEIND26MAYFUT,TATACONSUM26MAYFUT,fmcg,1140.4,0.905,RED,-5897.09,-1179.42,0.0,-15.87,2,0.4
BAJFINANCE26MAYFUT,FEDERALBNK26MAYFUT,nbfc,1064.6,0.6567,RED,-3683495.46,-736699.09,0.0021,-23.92,1933,386.6
