symbol,gamma,kappa,min_spread,open_mult,train_sharpe,train_pnl,test_sharpe,test_pnl,total_pnl,avg_daily_pnl,profitable_days,test_days,pnl_std
ADANIPORTS26JUNFUT,0.0005,1.0,0.05,1.0,7.5788,36932.97,5.6575,-4900.64,-2770.51,-554.1,3,4,36870.48
ADANIPORTS26JUNFUT,0.0005,1.0,0.05,1.5,8.1304,30419.36,6.5325,9180.25,13262.73,2652.55,3,4,34124.85
ADANIPORTS26JUNFUT,0.0005,1.0,0.05,2.0,9.3335,64042.77,6.305,8614.89,42111.27,8422.25,3,4,33736.97
ADANIPORTS26JUNFUT,0.0005,1.0,0.05,3.0,9.0892,43953.24,5.6825,-13018.6,7694.18,1538.84,3,4,36369.66
ADANIPORTS26JUNFUT,0.0005,1.0,0.1,1.0,7.5788,36932.97,5.6575,-4900.64,-2770.51,-554.1,3,4,36870.48
ADANIPORTS26JUNFUT,0.0005,1.0,0.1,1.5,8.1304,30419.36,6.5325,9180.25,13262.73,2652.55,3,4,34124.85
ADANIPORTS26JUNFUT,0.0005,1.0,0.1,2.0,9.3335,64042.77,6.305,8614.89,42111.27,8422.25,3,4,33736.97
ADANIPORTS26JUNFUT,0.0005,1.0,0.1,3.0,9.0892,43953.24,5.6825,-13018.6,7694.18,1538.84,3,4,36369.66
ADANIPORTS26JUNFUT,0.0005,1.0,0.25,1.0,7.5788,36932.97,5.6575,-4900.64,-2770.51,-554.1,3,4,36870.48
ADANIPORTS26JUNFUT,0.0005,1.0,0.25,1.5,8.1304,30419.36,6.5325,9180.25,13262.73,2652.55,3,4,34124.85
ADANIPORTS26JUNFUT,0.0005,1.0,0.25,2.0,9.3335,64042.77,6.305,8614.89,42111.27,8422.25,3,4,33736.97
ADANIPORTS26JUNFUT,0.0005,1.0,0.25,3.0,9.0892,43953.24,5.6825,-13018.6,7694.18,1538.84,3,4,36369.66
ADANIPORTS26JUNFUT,0.0005,1.0,0.5,1.0,7.5788,36932.97,5.6575,-4900.64,-2770.51,-554.1,3,4,36870.48
ADANIPORTS26JUNFUT,0.0005,1.0,0.5,1.5,8.1304,30419.36,6.5325,9180.25,13262.73,2652.55,3,4,34124.85
ADANIPORTS26JUNFUT,0.0005,1.0,0.5,2.0,9.3335,64042.77,6.305,8614.89,42111.27,8422.25,3,4,33736.97
ADANIPORTS26JUNFUT,0.0005,1.0,0.5,3.0,9.0892,43953.24,5.6825,-13018.6,7694.18,1538.84,3,4,36369.66
ADANIPORTS26JUNFUT,0.0005,1.5,0.05,1.0,8.5067,22909.6,6.2525,-92144.86,-89822.95,-17964.59,2,4,51023.27
ADANIPORTS26JUNFUT,0.0005,1.5,0.05,1.5,7.56,-20018.66,6.505,-43994.72,-71785.96,-14357.19,1,4,30821.62
ADANIPORTS26JUNFUT,0.0005,1.5,0.05,2.0,5.7842,-64343.96,5.8375,-57189.99,-114991.85,-22998.37,1,4,34165.14
ADANIPORTS26JUNFUT,0.0005,1.5,0.05,3.0,8.1302,9.4,6.635,-29411.79,-27240.94,-5448.19,2,4,16183.24
ADANIPORTS26JUNFUT,0.0005,1.5,0.1,1.0,8.5067,22909.6,6.2525,-92144.86,-89822.95,-17964.59,2,4,51023.27
ADANIPORTS26JUNFUT,0.0005,1.5,0.1,1.5,7.56,-20018.66,6.505,-43994.72,-71785.96,-14357.19,1,4,30821.62
ADANIPORTS26JUNFUT,0.0005,1.5,0.1,2.0,5.7842,-64343.96,5.8375,-57189.99,-114991.85,-22998.37,1,4,34165.14
ADANIPORTS26JUNFUT,0.0005,1.5,0.1,3.0,8.1302,9.4,6.635,-29411.79,-27240.94,-5448.19,2,4,16183.24
ADANIPORTS26JUNFUT,0.0005,1.5,0.25,1.0,8.5067,22909.6,6.2525,-92144.86,-89822.95,-17964.59,2,4,51023.27
ADANIPORTS26JUNFUT,0.0005,1.5,0.25,1.5,7.56,-20018.66,6.505,-43994.72,-71785.96,-14357.19,1,4,30821.62
