symbol,min_spread,phi,open_mult,rho,zeta,theta_kappa,classifier_threshold,train_sharpe,test_sharpe,test_pnl,total_pnl,avg_daily_pnl,profitable_days,test_days,pnl_std
ADANIPORTS26JUNFUT,0.1,0.001,2.0,0.2,0.3,1.0,0.4,1.4339,5.4325,23543.11,5322.32,1064.46,3,4,23961.48
ADANIPORTS26JUNFUT,0.1,0.001,2.0,0.2,0.3,1.0,0.5,0.9604,5.4075,22462.17,1706.42,341.28,3,4,24914.33
ADANIPORTS26JUNFUT,0.1,0.001,2.0,0.2,0.3,1.0,0.6,-1.7982,5.5225,22513.85,-12151.5,-2430.3,3,4,24485.29
ADANIPORTS26JUNFUT,0.1,0.001,2.0,0.2,0.3,1.5,0.4,-8.1685,4.5725,-27193.01,-54387.65,-10877.53,2,4,21112.51
ADANIPORTS26JUNFUT,0.1,0.001,2.0,0.2,0.3,1.5,0.5,-6.4567,4.675,-14500.81,-41783.02,-8356.6,2,4,18594.28
ADANIPORTS26JUNFUT,0.1,0.001,2.0,0.2,0.3,1.5,0.6,-1.4072,4.7825,-6156.97,-27938.33,-5587.67,2,4,21084.86
ADANIPORTS26JUNFUT,0.1,0.001,2.0,0.2,0.3,2.0,0.4,-23.0126,4.1,-97226.88,-157656.4,-31531.28,0,4,15617.33
ADANIPORTS26JUNFUT,0.1,0.001,2.0,0.2,0.3,2.0,0.5,-26.9204,3.855,-122536.71,-184005.26,-36801.05,0,4,15307.48
ADANIPORTS26JUNFUT,0.1,0.001,2.0,0.2,0.3,2.0,0.6,-27.0256,3.945,-118893.77,-175133.49,-35026.7,0,4,15543.52
ADANIPORTS26JUNFUT,0.1,0.001,2.0,0.2,0.5,1.0,0.4,1.9366,5.4775,28071.0,10689.32,2137.86,3,4,22872.06
ADANIPORTS26JUNFUT,0.1,0.001,2.0,0.2,0.5,1.0,0.5,1.4181,5.4375,26676.78,6764.89,1352.98,3,4,23818.19
ADANIPORTS26JUNFUT,0.1,0.001,2.0,0.2,0.5,1.0,0.6,-1.7982,5.52,22586.29,-12079.06,-2415.81,3,4,24491.25
ADANIPORTS26JUNFUT,0.1,0.001,2.0,0.2,0.5,1.5,0.4,-8.036,4.625,-22961.26,-50165.39,-10033.08,2,4,20945.69
ADANIPORTS26JUNFUT,0.1,0.001,2.0,0.2,0.5,1.5,0.5,-4.9271,4.8025,-6815.42,-34107.12,-6821.42,2,4,19197.37
ADANIPORTS26JUNFUT,0.1,0.001,2.0,0.2,0.5,1.5,0.6,-1.4072,4.7875,-5378.36,-27159.72,-5431.94,2,4,20903.35
ADANIPORTS26JUNFUT,0.1,0.001,2.0,0.2,0.5,2.0,0.4,-23.8397,4.1,-97241.15,-155370.1,-31074.02,0,4,14767.17
ADANIPORTS26JUNFUT,0.1,0.001,2.0,0.2,0.5,2.0,0.5,-26.9283,3.855,-122550.97,-184024.27,-36804.85,0,4,15305.44
ADANIPORTS26JUNFUT,0.1,0.001,2.0,0.2,0.5,2.0,0.6,-27.0256,3.945,-118898.53,-175138.25,-35027.65,0,4,15544.08
ADANIPORTS26JUNFUT,0.1,0.001,2.0,0.2,1.0,1.0,0.4,1.6394,5.39,25850.68,8423.72,1684.74,3,4,21898.17
ADANIPORTS26JUNFUT,0.1,0.001,2.0,0.2,1.0,1.0,0.5,1.3976,5.39,26695.18,6742.76,1348.55,3,4,23615.12
ADANIPORTS26JUNFUT,0.1,0.001,2.0,0.2,1.0,1.0,0.6,-1.7979,5.5175,22581.54,-12079.07,-2415.81,3,4,24490.83
ADANIPORTS26JUNFUT,0.1,0.001,2.0,0.2,1.0,1.5,0.4,-5.8312,4.8525,-5284.03,-27214.25,-5442.85,2,4,17021.36
ADANIPORTS26JUNFUT,0.1,0.001,2.0,0.2,1.0,1.5,0.5,-4.1448,4.805,-6421.39,-28429.68,-5685.94,2,4,18280.9
ADANIPORTS26JUNFUT,0.1,0.001,2.0,0.2,1.0,1.5,0.6,-1.387,4.79,-4979.57,-26760.93,-5352.19,2,4,21002.38
